,fluxes,kcat_MW,E,equ,ec-code
rxn01832_num1,0.0,,,cpd00005_c0 + cpd00067_c0 + cpd00428_c0 --> cpd00006_c0 + cpd03105_c0,1.1.1.21
CYOR_Q10,0.0,224817.82517058923,0.0,2.0 cpd00109_c0 + cpd25915_c0 --> 2.0 cpd00067_c0 + 2.0 cpd00110_c0 + cpd08232_c0,
LIPOS,0.0,133893.5285389755,0.0,cpd00003_c0 + 2.0 cpd00017_c0 + cpd00067_c0 + cpd24682_c0 + octapb_c0 --> cpd00004_c0 + 2.0 cpd00060_c0 + 2.0 cpd03091_c0 + 2.0 cpd10515_c0 + cpd24604_c0 + lipopb_c0,
rxn00076,0.0,625.8188876387798,0.0,cpd00001_c0 + cpd00003_c0 --> cpd00018_c0 + 2.0 cpd00067_c0 + cpd00355_c0,3.6.1.9
rxn00375_num1,0.0,,,cpd00001_c0 + cpd00770_c0 --> cpd00023_c0 + cpd00047_c0,3.5.1.68
EX_nmn_e,0.0,,,cpd00355_e0 --> ,
NMNtex,0.0,,,cpd00355_e0 --> cpd00355_p0,
NMNPtpp_num1,0.0,,,cpd00355_p0 --> cpd00355_c0,
rxn01352_num1,0.0,,,cpd00001_c0 + cpd00241_c0 --> cpd00067_c0 + cpd00277_c0 + cpd00421_c0,3.1.5.1
rxn09016_num1,0.0,,,cpd00001_c0 + cpd00038_c0 --> cpd00067_c0 + cpd00311_c0 + cpd00421_c0,
SCYSDS,0.0,108106.60037699724,0.0,cpd00084_c0 + sufse_c0 --> cpd00035_c0 + sufsesh_c0,
S2FE2SR,0.0,108106.60037699724,0.0,2fe1s_c0 + cpd00001_c0 + cpd00002_c0 + sufbcd_c0 + sufsesh_c0 --> cpd00008_c0 + cpd00009_c0 + 5.0 cpd00067_c0 + sufbcd__2fe2s_c0 + sufse_c0,
S4FE4SR,0.0,,,2.0 cpd00067_c0 + cpd00982_c0 + sufbcd__2fe2s2_c0 --> cpd00015_c0 + sufbcd__4fe4s_c0,
S2FE2SS,0.0,108106.60037699724,0.0,cpd00001_c0 + cpd00002_c0 + cpd00982_c0 + 2.0 cpd10515_c0 + sufbcd_c0 + 2.0 sufsesh_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00015_c0 + 7.0 cpd00067_c0 + sufbcd__2fe2s_c0 + 2.0 sufse_c0,
S2FE2SS2,0.0,108106.60037699724,0.0,cpd00001_c0 + cpd00002_c0 + cpd00982_c0 + 2.0 cpd10515_c0 + sufbcd__2fe2s_c0 + 2.0 sufsesh_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00015_c0 + 7.0 cpd00067_c0 + sufbcd__2fe2s2_c0 + 2.0 sufse_c0,
S2FE2ST,0.0,,,4.0 cpd00067_c0 + sufbcd__2fe2s_c0 --> cpd24604_c0 + sufbcd_c0,
S4FE4ST,0.0,,,4.0 cpd00067_c0 + sufbcd__4fe4s_c0 --> cpd24682_c0 + sufbcd_c0,
rxn00929_reverse_num1,0.02392961175148765,3304.718719,7.2410434249389595e-06,cpd00004_c0 + 2.0 cpd00067_c0 + cpd02431_c0 --> cpd00003_c0 + cpd00129_c0,1.5.1.2
rxn00505,0.0,8699.475849,0.0,cpd00003_c0 + cpd00260_c0 --> cpd00004_c0 + cpd00011_c0 + cpd00024_c0,1.1.1.41
DM_cpd00024_c0,0.0,,,cpd00024_c0 --> ,
rxn00055_reverse_num1,0.0,,,4.0 cpd00067_c0 + 3.0 cpd00147_c0 + cpd03158_c0 --> 3.0 cpd00017_c0,
